place,7/14/21,7/15/21,7/16/21,7/17/21,7/18/21,7/19/21,7/20/21,7/21/21,7/22/21,7/23/21,7/24/21,7/25/21,7/26/21,7/27/21,7/28/21,7/29/21,7/30/21,7/31/21,8/1/21,8/2/21,8/3/21,8/4/21,8/5/21,8/6/21,8/7/21,8/8/21,8/9/21,8/10/21,8/11/21,8/12/21,8/13/21,8/14/21,8/15/21,8/16/21,8/17/21,8/18/21,8/19/21,8/20/21,8/21/21,8/22/21,8/23/21,8/24/21,8/25/21,8/26/21,8/27/21,8/28/21,8/29/21,8/30/21,8/31/21,9/1/21,9/2/21,9/3/21,9/4/21,9/5/21,9/6/21,9/7/21,9/8/21,9/9/21,9/10/21,9/11/21,9/12/21,9/13/21,9/14/21,9/15/21,9/16/21,9/17/21,9/18/21,9/19/21,9/20/21,9/21/21,9/22/21,9/23/21,9/24/21,9/25/21,9/26/21,9/27/21,9/28/21,9/29/21,9/30/21
US,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,1.0,202.1,285.2,348.8,402.1,449.0,491.4,530.3,566.6,600.8,633.2,664.1,693.8,722.5,750.2,777.1,803.4,829.0,854.1,878.8,903.0,926.9,950.4,973.7,996.8,1019.6,1042.2,1064.7,1087.0,1109.2,1131.3,1153.4,1175.3,1197.2,1219.1,1240.9,1262.8,1284.6,1306.4,1328.3,1350.1,1372.0,1393.9,1415.9,1438.0,1460.0,1482.2,1504.4,1526.7,1549.1,1571.6,1594.2,1616.9,1639.6,1662.5,1685.5,1708.6,1731.9,1755.2,1778.7,1802.3,1826.1,1850.0,1874.0,1898.2,1922.5,1947.0,1971.6,1996.4,2021.4,2046.5,2071.8,2097.3,2123.0,2148.8,2174.8,2201.0,2227.4,2253.9
France,1.0,325.5,1057.1,2627.6,5879.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russia,1.0,536.3,1092.2,1692.3,2340.1,3039.5,3794.4,4609.1,5488.1,6436.2,7458.7,8560.9,9748.6,11028.1,12405.8,13888.7,15484.1,17199.7,19043.8,21025.0,23152.4,25435.9,27885.5,30512.1,33327.1,36342.5,39570.9,43025.8,46721.2,50672.0,54893.9,59403.2,64217.5,69355.0,74834.9,80677.6,86904.4,93537.8,100601.3,108120.0,116120.0,124628.9,133675.5,143290.4,153505.6,164354.8,175873.4,188098.7,201069.7,214827.6,229415.6,244879.1,261265.7,278625.7,297011.6,316478.8,337085.3,358892.0,381963.0,406365.5,432170.1,459450.8,488285.5,518755.6,550946.9,584949.3,620857.0,658769.0,698789.1,741026.3,785594.6,832614.1,882210.4,934515.2,989666.8,1047810.1,1109097.2,1173687.3,1241747.5
United Kingdom,1.0,410.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argentina,1.0,128.3,181.4,222.2,256.5,286.8,314.2,339.4,363.0,385.2,406.3,426.4,445.7,464.3,482.3,499.8,516.8,533.4,549.6,565.5,581.2,596.5,611.7,626.6,641.3,655.9,670.3,684.6,698.8,712.9,726.9,740.8,754.7,768.5,782.2,795.9,809.6,823.3,836.9,850.5,864.2,877.8,891.5,905.2,918.8,932.6,946.3,960.1,973.9,987.8,1001.7,1015.7,1029.7,1043.8,1058.0,1072.2,1086.5,1100.8,1115.3,1129.8,1144.4,1159.1,1173.8,1188.7,1203.6,1218.7,1233.8,1249.1,1264.4,1279.9,1295.5,1311.1,1326.9,1342.8,1358.8,1375.0,1391.2,1407.6,1424.1
Italy,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1.0,419.6,1097.3,2201.8,3992.1,6861.9,11404.6,18508.5,29497.4,46334.8,71922.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poland,1.0,15.2,29.4,43.8,58.3,72.9,87.7,102.7,117.8,133.1,148.6,164.3,180.1,196.1,212.3,228.7,245.2,262.0,278.8,295.9,313.1,330.6,348.1,365.9,383.8,401.9,420.1,438.5,457.1,475.8,494.7,513.7,532.9,552.3,571.8,591.5,611.3,631.3,651.4,671.7,692.2,712.8,733.5,754.4,775.5,796.7,818.1,839.6,861.3,883.2,905.2,927.3,949.6,972.1,994.7,1017.5,1040.4,1063.5,1086.8,1110.2,1133.8,1157.5,1181.4,1205.5,1229.7,1254.1,1278.7,1303.4,1328.3,1353.4,1378.6,1404.0,1429.6,1455.3,1481.2,1507.3,1533.6,1560.0,1586.7
